parameter,value,domain,congruency,par_class
mu_alphaV_con,0.120811,V,con,learning
mu_alphaV_inc,0.0169559,V,inc,learning
mu_alphaP_con,0.054438,P,con,learning
mu_alphaP_inc,0.0100035,P,inc,learning
mu_alphaV_con,0.109939,V,con,learning
mu_alphaV_inc,0.0130668,V,inc,learning
mu_alphaP_con,0.060429,P,con,learning
mu_alphaP_inc,0.01004,P,inc,learning
mu_alphaV_con,0.102649,V,con,learning
mu_alphaV_inc,0.0113347,V,inc,learning
mu_alphaP_con,0.0556819,P,con,learning
mu_alphaP_inc,0.0129062,P,inc,learning
mu_alphaV_con,0.110632,V,con,learning
mu_alphaV_inc,0.0107581,V,inc,learning
mu_alphaP_con,0.0532451,P,con,learning
mu_alphaP_inc,0.0112535,P,inc,learning
mu_alphaV_con,0.114513,V,con,learning
mu_alphaV_inc,0.0165341,V,inc,learning
mu_alphaP_con,0.0419228,P,con,learning
mu_alphaP_inc,0.0142256,P,inc,learning
mu_alphaV_con,0.116543,V,con,learning
mu_alphaV_inc,0.0165279,V,inc,learning
mu_alphaP_con,0.0456706,P,con,learning
mu_alphaP_inc,0.0150303,P,inc,learning
mu_alphaV_con,0.103952,V,con,learning
mu_alphaV_inc,0.00891337,V,inc,learning
mu_alphaP_con,0.0584518,P,con,learning
mu_alphaP_inc,0.010973,P,inc,learning
mu_alphaV_con,0.116418,V,con,learning
mu_alphaV_inc,0.00922698,V,inc,learning
mu_alphaP_con,0.0390367,P,con,learning
mu_alphaP_inc,0.0145929,P,inc,learning
mu_alphaV_con,0.113164,V,con,learning
mu_alphaV_inc,0.0127771,V,inc,learning
mu_alphaP_con,0.0484828,P,con,learning
mu_alphaP_inc,0.00984429,P,inc,learning
mu_alphaV_con,0.123674,V,con,learning
mu_alphaV_inc,0.010094,V,inc,learning
mu_alphaP_con,0.0640706,P,con,learning
mu_alphaP_inc,0.0117006,P,inc,learning
mu_alphaV_con,0.112867,V,con,learning
mu_alphaV_inc,0.011805,V,inc,learning
mu_alphaP_con,0.0552756,P,con,learning
mu_alphaP_inc,0.0106915,P,inc,learning
mu_alphaV_con,0.115678,V,con,learning
mu_alphaV_inc,0.0131225,V,inc,learning
mu_alphaP_con,0.050988,P,con,learning
mu_alphaP_inc,0.0111491,P,inc,learning
mu_alphaV_con,0.109804,V,con,learning
mu_alphaV_inc,0.0151196,V,inc,learning
mu_alphaP_con,0.0522949,P,con,learning
mu_alphaP_inc,0.0084645,P,inc,learning
mu_alphaV_con,0.122183,V,con,learning
mu_alphaV_inc,0.0124576,V,inc,learning
mu_alphaP_con,0.0432054,P,con,learning
mu_alphaP_inc,0.00997963,P,inc,learning
mu_alphaV_con,0.111638,V,con,learning
mu_alphaV_inc,0.013154,V,inc,learning
mu_alphaP_con,0.0547233,P,con,learning
mu_alphaP_inc,0.0106192,P,inc,learning
mu_alphaV_con,0.11528,V,con,learning
mu_alphaV_inc,0.015934,V,inc,learning
mu_alphaP_con,0.0595046,P,con,learning
mu_alphaP_inc,0.0127296,P,inc,learning
mu_alphaV_con,0.106937,V,con,learning
mu_alphaV_inc,0.0110339,V,inc,learning
mu_alphaP_con,0.052937,P,con,learning
mu_alphaP_inc,0.0105322,P,inc,learning
mu_alphaV_con,0.117901,V,con,learning
mu_alphaV_inc,0.0124376,V,inc,learning
mu_alphaP_con,0.0529683,P,con,learning
mu_alphaP_inc,0.0111809,P,inc,learning
mu_alphaV_con,0.121161,V,con,learning
mu_alphaV_inc,0.0101118,V,inc,learning
mu_alphaP_con,0.0532639,P,con,learning
mu_alphaP_inc,0.0144181,P,inc,learning
mu_alphaV_con,0.115498,V,con,learning
mu_alphaV_inc,0.0108397,V,inc,learning
mu_alphaP_con,0.0544699,P,con,learning
mu_alphaP_inc,0.0116444,P,inc,learning
mu_alphaV_con,0.121895,V,con,learning
mu_alphaV_inc,0.00934756,V,inc,learning
mu_alphaP_con,0.0547389,P,con,learning
mu_alphaP_inc,0.0117366,P,inc,learning
mu_alphaV_con,0.113254,V,con,learning
mu_alphaV_inc,0.014684,V,inc,learning
mu_alphaP_con,0.0615296,P,con,learning
mu_alphaP_inc,0.00923527,P,inc,learning
mu_alphaV_con,0.124309,V,con,learning
mu_alphaV_inc,0.00933195,V,inc,learning
mu_alphaP_con,0.0394353,P,con,learning
mu_alphaP_inc,0.0106264,P,inc,learning
mu_alphaV_con,0.118936,V,con,learning
mu_alphaV_inc,0.016546,V,inc,learning
mu_alphaP_con,0.0704694,P,con,learning
mu_alphaP_inc,0.0107267,P,inc,learning
mu_alphaV_con,0.120352,V,con,learning
mu_alphaV_inc,0.00976307,V,inc,learning
mu_alphaP_con,0.0686186,P,con,learning
mu_alphaP_inc,0.0104443,P,inc,learning
mu_alphaV_con,0.123516,V,con,learning
mu_alphaV_inc,0.0104098,V,inc,learning
mu_alphaP_con,0.0414235,P,con,learning
mu_alphaP_inc,0.0159395,P,inc,learning
mu_alphaV_con,0.113549,V,con,learning
mu_alphaV_inc,0.0119773,V,inc,learning
mu_alphaP_con,0.0597131,P,con,learning
mu_alphaP_inc,0.0118076,P,inc,learning
mu_alphaV_con,0.114843,V,con,learning
mu_alphaV_inc,0.0105029,V,inc,learning
mu_alphaP_con,0.0582112,P,con,learning
mu_alphaP_inc,0.00932738,P,inc,learning
mu_alphaV_con,0.126036,V,con,learning
mu_alphaV_inc,0.0138152,V,inc,learning
mu_alphaP_con,0.0603645,P,con,learning
mu_alphaP_inc,0.0128513,P,inc,learning
mu_alphaV_con,0.0946815,V,con,learning
mu_alphaV_inc,0.013244,V,inc,learning
mu_alphaP_con,0.0597515,P,con,learning
mu_alphaP_inc,0.0127896,P,inc,learning
mu_alphaV_con,0.143689,V,con,learning
mu_alphaV_inc,0.0100215,V,inc,learning
mu_alphaP_con,0.0470313,P,con,learning
mu_alphaP_inc,0.00995783,P,inc,learning
mu_alphaV_con,0.0954619,V,con,learning
mu_alphaV_inc,0.0119905,V,inc,learning
mu_alphaP_con,0.0489102,P,con,learning
mu_alphaP_inc,0.0139799,P,inc,learning
mu_alphaV_con,0.103829,V,con,learning
mu_alphaV_inc,0.0104802,V,inc,learning
mu_alphaP_con,0.0542698,P,con,learning
mu_alphaP_inc,0.0114827,P,inc,learning
mu_alphaV_con,0.14342,V,con,learning
mu_alphaV_inc,0.0101246,V,inc,learning
mu_alphaP_con,0.0583929,P,con,learning
mu_alphaP_inc,0.0162844,P,inc,learning
mu_alphaV_con,0.114704,V,con,learning
mu_alphaV_inc,0.00917033,V,inc,learning
mu_alphaP_con,0.0520068,P,con,learning
mu_alphaP_inc,0.0160218,P,inc,learning
mu_alphaV_con,0.12062,V,con,learning
mu_alphaV_inc,0.00872437,V,inc,learning
mu_alphaP_con,0.0458529,P,con,learning
mu_alphaP_inc,0.0102054,P,inc,learning
mu_alphaV_con,0.111539,V,con,learning
mu_alphaV_inc,0.00877438,V,inc,learning
mu_alphaP_con,0.0494429,P,con,learning
mu_alphaP_inc,0.00941799,P,inc,learning
mu_alphaV_con,0.111509,V,con,learning
mu_alphaV_inc,0.0113928,V,inc,learning
mu_alphaP_con,0.062585,P,con,learning
mu_alphaP_inc,0.0113972,P,inc,learning
mu_alphaV_con,0.121937,V,con,learning
mu_alphaV_inc,0.0165182,V,inc,learning
mu_alphaP_con,0.0594787,P,con,learning
mu_alphaP_inc,0.0153189,P,inc,learning
mu_alphaV_con,0.119599,V,con,learning
mu_alphaV_inc,0.0140792,V,inc,learning
mu_alphaP_con,0.0499032,P,con,learning
mu_alphaP_inc,0.00927402,P,inc,learning
mu_alphaV_con,0.11031,V,con,learning
mu_alphaV_inc,0.0161946,V,inc,learning
mu_alphaP_con,0.0519965,P,con,learning
mu_alphaP_inc,0.0126111,P,inc,learning
mu_alphaV_con,0.110056,V,con,learning
mu_alphaV_inc,0.0139886,V,inc,learning
mu_alphaP_con,0.056477,P,con,learning
mu_alphaP_inc,0.0176197,P,inc,learning
mu_alphaV_con,0.114345,V,con,learning
mu_alphaV_inc,0.0151055,V,inc,learning
mu_alphaP_con,0.0538303,P,con,learning
mu_alphaP_inc,0.00858758,P,inc,learning
mu_alphaV_con,0.118372,V,con,learning
mu_alphaV_inc,0.0130989,V,inc,learning
mu_alphaP_con,0.0539841,P,con,learning
mu_alphaP_inc,0.0125862,P,inc,learning
mu_alphaV_con,0.121305,V,con,learning
mu_alphaV_inc,0.0163398,V,inc,learning
mu_alphaP_con,0.0619897,P,con,learning
mu_alphaP_inc,0.00864487,P,inc,learning
mu_alphaV_con,0.110246,V,con,learning
mu_alphaV_inc,0.0193104,V,inc,learning
mu_alphaP_con,0.047377,P,con,learning
mu_alphaP_inc,0.00992787,P,inc,learning
mu_alphaV_con,0.11532,V,con,learning
mu_alphaV_inc,0.0141424,V,inc,learning
mu_alphaP_con,0.0434488,P,con,learning
mu_alphaP_inc,0.0160436,P,inc,learning
mu_alphaV_con,0.111161,V,con,learning
mu_alphaV_inc,0.00987192,V,inc,learning
mu_alphaP_con,0.0704246,P,con,learning
mu_alphaP_inc,0.01344,P,inc,learning
mu_alphaV_con,0.116874,V,con,learning
mu_alphaV_inc,0.0162838,V,inc,learning
mu_alphaP_con,0.0393923,P,con,learning
mu_alphaP_inc,0.0107508,P,inc,learning
mu_alphaV_con,0.116588,V,con,learning
mu_alphaV_inc,0.0128557,V,inc,learning
mu_alphaP_con,0.0595345,P,con,learning
mu_alphaP_inc,0.0114316,P,inc,learning
mu_alphaV_con,0.11449,V,con,learning
mu_alphaV_inc,0.0133627,V,inc,learning
mu_alphaP_con,0.0567189,P,con,learning
mu_alphaP_inc,0.0106571,P,inc,learning
mu_alphaV_con,0.113434,V,con,learning
mu_alphaV_inc,0.01394,V,inc,learning
mu_alphaP_con,0.0528797,P,con,learning
mu_alphaP_inc,0.0132055,P,inc,learning
mu_alphaV_con,0.108639,V,con,learning
mu_alphaV_inc,0.0126389,V,inc,learning
mu_alphaP_con,0.047126,P,con,learning
mu_alphaP_inc,0.0137751,P,inc,learning
mu_alphaV_con,0.110069,V,con,learning
mu_alphaV_inc,0.010537,V,inc,learning
mu_alphaP_con,0.0547202,P,con,learning
mu_alphaP_inc,0.00930232,P,inc,learning
mu_alphaV_con,0.117786,V,con,learning
mu_alphaV_inc,0.0126349,V,inc,learning
mu_alphaP_con,0.0500322,P,con,learning
mu_alphaP_inc,0.0112297,P,inc,learning
mu_alphaV_con,0.113714,V,con,learning
mu_alphaV_inc,0.0143136,V,inc,learning
mu_alphaP_con,0.0483483,P,con,learning
mu_alphaP_inc,0.00989436,P,inc,learning
mu_alphaV_con,0.112995,V,con,learning
mu_alphaV_inc,0.0136742,V,inc,learning
mu_alphaP_con,0.056721,P,con,learning
mu_alphaP_inc,0.0120803,P,inc,learning
mu_alphaV_con,0.105718,V,con,learning
mu_alphaV_inc,0.0137931,V,inc,learning
mu_alphaP_con,0.054415,P,con,learning
mu_alphaP_inc,0.00919623,P,inc,learning
mu_alphaV_con,0.113441,V,con,learning
mu_alphaV_inc,0.0117179,V,inc,learning
mu_alphaP_con,0.0544395,P,con,learning
mu_alphaP_inc,0.0104233,P,inc,learning
mu_alphaV_con,0.124513,V,con,learning
mu_alphaV_inc,0.0135618,V,inc,learning
mu_alphaP_con,0.0590702,P,con,learning
mu_alphaP_inc,0.0162297,P,inc,learning
mu_alphaV_con,0.128478,V,con,learning
mu_alphaV_inc,0.0114475,V,inc,learning
mu_alphaP_con,0.0622228,P,con,learning
mu_alphaP_inc,0.00968174,P,inc,learning
mu_alphaV_con,0.131619,V,con,learning
mu_alphaV_inc,0.00957295,V,inc,learning
mu_alphaP_con,0.044973,P,con,learning
mu_alphaP_inc,0.0119641,P,inc,learning
mu_alphaV_con,0.127971,V,con,learning
mu_alphaV_inc,0.0116436,V,inc,learning
mu_alphaP_con,0.0477906,P,con,learning
mu_alphaP_inc,0.0116652,P,inc,learning
mu_alphaV_con,0.125863,V,con,learning
mu_alphaV_inc,0.00856095,V,inc,learning
mu_alphaP_con,0.0456092,P,con,learning
mu_alphaP_inc,0.00991809,P,inc,learning
mu_alphaV_con,0.113448,V,con,learning
mu_alphaV_inc,0.0112006,V,inc,learning
mu_alphaP_con,0.0550496,P,con,learning
mu_alphaP_inc,0.00929763,P,inc,learning
mu_alphaV_con,0.129326,V,con,learning
mu_alphaV_inc,0.0124953,V,inc,learning
mu_alphaP_con,0.05549,P,con,learning
mu_alphaP_inc,0.0145568,P,inc,learning
mu_alphaV_con,0.109964,V,con,learning
mu_alphaV_inc,0.0120122,V,inc,learning
mu_alphaP_con,0.0616587,P,con,learning
mu_alphaP_inc,0.0132247,P,inc,learning
mu_alphaV_con,0.115765,V,con,learning
mu_alphaV_inc,0.0121961,V,inc,learning
mu_alphaP_con,0.0500864,P,con,learning
mu_alphaP_inc,0.0114127,P,inc,learning
mu_alphaV_con,0.0934805,V,con,learning
mu_alphaV_inc,0.011261,V,inc,learning
mu_alphaP_con,0.0534805,P,con,learning
mu_alphaP_inc,0.0101739,P,inc,learning
mu_alphaV_con,0.108114,V,con,learning
mu_alphaV_inc,0.0120452,V,inc,learning
mu_alphaP_con,0.0466996,P,con,learning
mu_alphaP_inc,0.0122066,P,inc,learning
mu_alphaV_con,0.108282,V,con,learning
mu_alphaV_inc,0.0114736,V,inc,learning
mu_alphaP_con,0.0471622,P,con,learning
mu_alphaP_inc,0.0126047,P,inc,learning
mu_alphaV_con,0.119427,V,con,learning
mu_alphaV_inc,0.0115129,V,inc,learning
mu_alphaP_con,0.0447661,P,con,learning
mu_alphaP_inc,0.0114023,P,inc,learning
mu_alphaV_con,0.10825,V,con,learning
mu_alphaV_inc,0.00965067,V,inc,learning
mu_alphaP_con,0.0561551,P,con,learning
mu_alphaP_inc,0.0147362,P,inc,learning
mu_alphaV_con,0.101329,V,con,learning
mu_alphaV_inc,0.013484,V,inc,learning
mu_alphaP_con,0.0407582,P,con,learning
mu_alphaP_inc,0.0115992,P,inc,learning
mu_alphaV_con,0.127906,V,con,learning
mu_alphaV_inc,0.0117275,V,inc,learning
mu_alphaP_con,0.057584,P,con,learning
mu_alphaP_inc,0.0101559,P,inc,learning
mu_alphaV_con,0.132007,V,con,learning
mu_alphaV_inc,0.0097862,V,inc,learning
mu_alphaP_con,0.0499906,P,con,learning
mu_alphaP_inc,0.0127149,P,inc,learning
mu_alphaV_con,0.0991422,V,con,learning
mu_alphaV_inc,0.011029,V,inc,learning
mu_alphaP_con,0.0543687,P,con,learning
mu_alphaP_inc,0.0127359,P,inc,learning
mu_alphaV_con,0.13656,V,con,learning
mu_alphaV_inc,0.0147079,V,inc,learning
mu_alphaP_con,0.0513798,P,con,learning
mu_alphaP_inc,0.0113986,P,inc,learning
mu_alphaV_con,0.112998,V,con,learning
mu_alphaV_inc,0.0117556,V,inc,learning
mu_alphaP_con,0.053209,P,con,learning
mu_alphaP_inc,0.0132787,P,inc,learning
mu_alphaV_con,0.120883,V,con,learning
mu_alphaV_inc,0.0128501,V,inc,learning
mu_alphaP_con,0.0584862,P,con,learning
mu_alphaP_inc,0.0134382,P,inc,learning
mu_alphaV_con,0.118566,V,con,learning
mu_alphaV_inc,0.0158966,V,inc,learning
mu_alphaP_con,0.0577822,P,con,learning
mu_alphaP_inc,0.0108237,P,inc,learning
mu_alphaV_con,0.110959,V,con,learning
mu_alphaV_inc,0.0157363,V,inc,learning
mu_alphaP_con,0.0622973,P,con,learning
mu_alphaP_inc,0.0116835,P,inc,learning
mu_alphaV_con,0.123272,V,con,learning
mu_alphaV_inc,0.0100796,V,inc,learning
mu_alphaP_con,0.043482,P,con,learning
mu_alphaP_inc,0.0124226,P,inc,learning
mu_alphaV_con,0.12262,V,con,learning
mu_alphaV_inc,0.0125865,V,inc,learning
mu_alphaP_con,0.0482872,P,con,learning
mu_alphaP_inc,0.0102545,P,inc,learning
mu_alphaV_con,0.12846,V,con,learning
mu_alphaV_inc,0.0125293,V,inc,learning
mu_alphaP_con,0.0569783,P,con,learning
mu_alphaP_inc,0.0106404,P,inc,learning
mu_alphaV_con,0.127864,V,con,learning
mu_alphaV_inc,0.0150074,V,inc,learning
mu_alphaP_con,0.0535872,P,con,learning
mu_alphaP_inc,0.0128542,P,inc,learning
mu_alphaV_con,0.120023,V,con,learning
mu_alphaV_inc,0.0132045,V,inc,learning
mu_alphaP_con,0.0503761,P,con,learning
mu_alphaP_inc,0.0135206,P,inc,learning
mu_alphaV_con,0.126768,V,con,learning
mu_alphaV_inc,0.0140433,V,inc,learning
mu_alphaP_con,0.0597401,P,con,learning
mu_alphaP_inc,0.00945801,P,inc,learning
mu_alphaV_con,0.131456,V,con,learning
mu_alphaV_inc,0.0122665,V,inc,learning
mu_alphaP_con,0.0539735,P,con,learning
mu_alphaP_inc,0.0107863,P,inc,learning
mu_alphaV_con,0.138243,V,con,learning
mu_alphaV_inc,0.0113985,V,inc,learning
mu_alphaP_con,0.0475539,P,con,learning
mu_alphaP_inc,0.0129953,P,inc,learning
mu_alphaV_con,0.0944067,V,con,learning
mu_alphaV_inc,0.0146866,V,inc,learning
mu_alphaP_con,0.0608415,P,con,learning
mu_alphaP_inc,0.00958781,P,inc,learning
mu_alphaV_con,0.108983,V,con,learning
mu_alphaV_inc,0.0111249,V,inc,learning
mu_alphaP_con,0.0508473,P,con,learning
mu_alphaP_inc,0.0109666,P,inc,learning
mu_alphaV_con,0.128269,V,con,learning
mu_alphaV_inc,0.0100896,V,inc,learning
mu_alphaP_con,0.0477805,P,con,learning
mu_alphaP_inc,0.0126452,P,inc,learning
mu_alphaV_con,0.149245,V,con,learning
mu_alphaV_inc,0.011382,V,inc,learning
mu_alphaP_con,0.045424,P,con,learning
mu_alphaP_inc,0.0153184,P,inc,learning
mu_alphaV_con,0.129952,V,con,learning
mu_alphaV_inc,0.00953814,V,inc,learning
mu_alphaP_con,0.0427095,P,con,learning
mu_alphaP_inc,0.00868085,P,inc,learning
mu_alphaV_con,0.115151,V,con,learning
mu_alphaV_inc,0.0111515,V,inc,learning
mu_alphaP_con,0.0410335,P,con,learning
mu_alphaP_inc,0.0131801,P,inc,learning
mu_alphaV_con,0.109349,V,con,learning
mu_alphaV_inc,0.0128126,V,inc,learning
mu_alphaP_con,0.066173,P,con,learning
mu_alphaP_inc,0.00920299,P,inc,learning
mu_alphaV_con,0.10224,V,con,learning
mu_alphaV_inc,0.013799,V,inc,learning
mu_alphaP_con,0.0513211,P,con,learning
mu_alphaP_inc,0.0095236,P,inc,learning
mu_alphaV_con,0.10509,V,con,learning
mu_alphaV_inc,0.0117754,V,inc,learning
mu_alphaP_con,0.0534771,P,con,learning
mu_alphaP_inc,0.0149707,P,inc,learning
mu_alphaV_con,0.108543,V,con,learning
mu_alphaV_inc,0.0124927,V,inc,learning
mu_alphaP_con,0.0521413,P,con,learning
mu_alphaP_inc,0.01251,P,inc,learning
mu_alphaV_con,0.116781,V,con,learning
mu_alphaV_inc,0.0139312,V,inc,learning
mu_alphaP_con,0.0552968,P,con,learning
mu_alphaP_inc,0.0147979,P,inc,learning
mu_alphaV_con,0.118949,V,con,learning
mu_alphaV_inc,0.0125391,V,inc,learning
mu_alphaP_con,0.0522159,P,con,learning
mu_alphaP_inc,0.0140165,P,inc,learning
mu_alphaV_con,0.10535,V,con,learning
mu_alphaV_inc,0.0127538,V,inc,learning
mu_alphaP_con,0.0569861,P,con,learning
mu_alphaP_inc,0.0106499,P,inc,learning
mu_alphaV_con,0.113854,V,con,learning
mu_alphaV_inc,0.00968138,V,inc,learning
mu_alphaP_con,0.0500041,P,con,learning
mu_alphaP_inc,0.00945969,P,inc,learning
mu_alphaV_con,0.109009,V,con,learning
mu_alphaV_inc,0.0163004,V,inc,learning
mu_alphaP_con,0.0557765,P,con,learning
mu_alphaP_inc,0.01208,P,inc,learning
mu_alphaV_con,0.115756,V,con,learning
mu_alphaV_inc,0.0152875,V,inc,learning
mu_alphaP_con,0.0554229,P,con,learning
mu_alphaP_inc,0.0110786,P,inc,learning
mu_alphaV_con,0.113848,V,con,learning
mu_alphaV_inc,0.0142485,V,inc,learning
mu_alphaP_con,0.0499419,P,con,learning
mu_alphaP_inc,0.0112757,P,inc,learning
mu_alphaV_con,0.117554,V,con,learning
mu_alphaV_inc,0.0163278,V,inc,learning
mu_alphaP_con,0.0576411,P,con,learning
mu_alphaP_inc,0.00845306,P,inc,learning
mu_alphaV_con,0.121912,V,con,learning
mu_alphaV_inc,0.0168208,V,inc,learning
mu_alphaP_con,0.0484505,P,con,learning
mu_alphaP_inc,0.0105498,P,inc,learning
mu_alphaV_con,0.106789,V,con,learning
mu_alphaV_inc,0.0109315,V,inc,learning
mu_alphaP_con,0.0518448,P,con,learning
mu_alphaP_inc,0.00745582,P,inc,learning
mu_alphaV_con,0.105852,V,con,learning
mu_alphaV_inc,0.0160804,V,inc,learning
mu_alphaP_con,0.0609288,P,con,learning
mu_alphaP_inc,0.0148157,P,inc,learning
mu_alphaV_con,0.105128,V,con,learning
mu_alphaV_inc,0.0164979,V,inc,learning
mu_alphaP_con,0.0444645,P,con,learning
mu_alphaP_inc,0.0101406,P,inc,learning
mu_alphaV_con,0.102122,V,con,learning
mu_alphaV_inc,0.0108257,V,inc,learning
mu_alphaP_con,0.0535938,P,con,learning
mu_alphaP_inc,0.00957399,P,inc,learning
mu_alphaV_con,0.123851,V,con,learning
mu_alphaV_inc,0.0143613,V,inc,learning
mu_alphaP_con,0.0601816,P,con,learning
mu_alphaP_inc,0.0124957,P,inc,learning
mu_alphaV_con,0.110813,V,con,learning
mu_alphaV_inc,0.0124414,V,inc,learning
mu_alphaP_con,0.0416762,P,con,learning
mu_alphaP_inc,0.0154136,P,inc,learning
mu_alphaV_con,0.106386,V,con,learning
mu_alphaV_inc,0.0153666,V,inc,learning
mu_alphaP_con,0.0474628,P,con,learning
mu_alphaP_inc,0.0120241,P,inc,learning
mu_alphaV_con,0.121636,V,con,learning
mu_alphaV_inc,0.0123241,V,inc,learning
mu_alphaP_con,0.0471884,P,con,learning
mu_alphaP_inc,0.0135388,P,inc,learning
mu_alphaV_con,0.106792,V,con,learning
mu_alphaV_inc,0.0133048,V,inc,learning
mu_alphaP_con,0.0562465,P,con,learning
mu_alphaP_inc,0.0124757,P,inc,learning
mu_alphaV_con,0.101196,V,con,learning
mu_alphaV_inc,0.0105494,V,inc,learning
mu_alphaP_con,0.0503231,P,con,learning
mu_alphaP_inc,0.0121069,P,inc,learning
mu_alphaV_con,0.124989,V,con,learning
mu_alphaV_inc,0.0171352,V,inc,learning
mu_alphaP_con,0.0499577,P,con,learning
mu_alphaP_inc,0.00965336,P,inc,learning
mu_alphaV_con,0.107114,V,con,learning
mu_alphaV_inc,0.0103383,V,inc,learning
mu_alphaP_con,0.053148,P,con,learning
mu_alphaP_inc,0.0144605,P,inc,learning
mu_alphaV_con,0.101889,V,con,learning
mu_alphaV_inc,0.0161753,V,inc,learning
mu_alphaP_con,0.0495617,P,con,learning
mu_alphaP_inc,0.0128638,P,inc,learning
mu_alphaV_con,0.122449,V,con,learning
mu_alphaV_inc,0.0121978,V,inc,learning
mu_alphaP_con,0.0586631,P,con,learning
mu_alphaP_inc,0.010701,P,inc,learning
mu_alphaV_con,0.119482,V,con,learning
mu_alphaV_inc,0.0147601,V,inc,learning
mu_alphaP_con,0.0453604,P,con,learning
mu_alphaP_inc,0.0122829,P,inc,learning
mu_alphaV_con,0.105788,V,con,learning
mu_alphaV_inc,0.0152612,V,inc,learning
mu_alphaP_con,0.0546107,P,con,learning
mu_alphaP_inc,0.0148552,P,inc,learning
mu_alphaV_con,0.108093,V,con,learning
mu_alphaV_inc,0.0155589,V,inc,learning
mu_alphaP_con,0.0621524,P,con,learning
mu_alphaP_inc,0.0100697,P,inc,learning
mu_alphaV_con,0.123614,V,con,learning
mu_alphaV_inc,0.0141478,V,inc,learning
mu_alphaP_con,0.0580839,P,con,learning
mu_alphaP_inc,0.0121833,P,inc,learning
mu_alphaV_con,0.123491,V,con,learning
mu_alphaV_inc,0.0166524,V,inc,learning
mu_alphaP_con,0.0682002,P,con,learning
mu_alphaP_inc,0.0116133,P,inc,learning
mu_alphaV_con,0.11615,V,con,learning
mu_alphaV_inc,0.0136206,V,inc,learning
mu_alphaP_con,0.0578163,P,con,learning
mu_alphaP_inc,0.012918,P,inc,learning
mu_alphaV_con,0.108481,V,con,learning
mu_alphaV_inc,0.0131992,V,inc,learning
mu_alphaP_con,0.0554185,P,con,learning
mu_alphaP_inc,0.00912718,P,inc,learning
mu_alphaV_con,0.119346,V,con,learning
mu_alphaV_inc,0.0110842,V,inc,learning
mu_alphaP_con,0.0577267,P,con,learning
mu_alphaP_inc,0.0131985,P,inc,learning
mu_alphaV_con,0.128163,V,con,learning
mu_alphaV_inc,0.0121512,V,inc,learning
mu_alphaP_con,0.05413,P,con,learning
mu_alphaP_inc,0.0139517,P,inc,learning
mu_alphaV_con,0.108235,V,con,learning
