parameter,value,domain,congruency,par_class
mu_alphaV_inc,0.0184294,V,inc,learning
mu_alphaP_con,0.0542442,P,con,learning
mu_alphaP_inc,0.0100595,P,inc,learning
mu_alphaV_con,0.0949643,V,con,learning
mu_alphaV_inc,0.00964301,V,inc,learning
mu_alphaP_con,0.0431699,P,con,learning
mu_alphaP_inc,0.0152204,P,inc,learning
mu_alphaV_con,0.0935289,V,con,learning
mu_alphaV_inc,0.0125502,V,inc,learning
mu_alphaP_con,0.0473808,P,con,learning
mu_alphaP_inc,0.0158134,P,inc,learning
mu_alphaV_con,0.118788,V,con,learning
mu_alphaV_inc,0.0107605,V,inc,learning
mu_alphaP_con,0.0412991,P,con,learning
mu_alphaP_inc,0.0160485,P,inc,learning
mu_alphaV_con,0.10394,V,con,learning
mu_alphaV_inc,0.0118696,V,inc,learning
mu_alphaP_con,0.039293,P,con,learning
mu_alphaP_inc,0.0149457,P,inc,learning
mu_alphaV_con,0.110391,V,con,learning
mu_alphaV_inc,0.0109906,V,inc,learning
mu_alphaP_con,0.0495051,P,con,learning
mu_alphaP_inc,0.0145725,P,inc,learning
mu_alphaV_con,0.114058,V,con,learning
mu_alphaV_inc,0.0150713,V,inc,learning
mu_alphaP_con,0.0465274,P,con,learning
mu_alphaP_inc,0.0128544,P,inc,learning
mu_alphaV_con,0.106815,V,con,learning
mu_alphaV_inc,0.0106546,V,inc,learning
mu_alphaP_con,0.036841,P,con,learning
mu_alphaP_inc,0.0162001,P,inc,learning
mu_alphaV_con,0.0989918,V,con,learning
mu_alphaV_inc,0.0152288,V,inc,learning
mu_alphaP_con,0.0542204,P,con,learning
mu_alphaP_inc,0.0180041,P,inc,learning
mu_alphaV_con,0.0936737,V,con,learning
mu_alphaV_inc,0.0140088,V,inc,learning
mu_alphaP_con,0.0551754,P,con,learning
mu_alphaP_inc,0.0180297,P,inc,learning
mu_alphaV_con,0.0986942,V,con,learning
mu_alphaV_inc,0.01483,V,inc,learning
mu_alphaP_con,0.0448961,P,con,learning
mu_alphaP_inc,0.012074,P,inc,learning
mu_alphaV_con,0.0857954,V,con,learning
mu_alphaV_inc,0.0183747,V,inc,learning
mu_alphaP_con,0.0535587,P,con,learning
mu_alphaP_inc,0.011057,P,inc,learning
mu_alphaV_con,0.115639,V,con,learning
mu_alphaV_inc,0.0122185,V,inc,learning
mu_alphaP_con,0.0382649,P,con,learning
mu_alphaP_inc,0.0144466,P,inc,learning
mu_alphaV_con,0.105864,V,con,learning
mu_alphaV_inc,0.0183361,V,inc,learning
mu_alphaP_con,0.0429846,P,con,learning
mu_alphaP_inc,0.014658,P,inc,learning
mu_alphaV_con,0.109648,V,con,learning
mu_alphaV_inc,0.0130787,V,inc,learning
mu_alphaP_con,0.0535558,P,con,learning
mu_alphaP_inc,0.0152505,P,inc,learning
mu_alphaV_con,0.100969,V,con,learning
mu_alphaV_inc,0.0132463,V,inc,learning
mu_alphaP_con,0.0490255,P,con,learning
mu_alphaP_inc,0.0157605,P,inc,learning
mu_alphaV_con,0.0880999,V,con,learning
mu_alphaV_inc,0.0127927,V,inc,learning
mu_alphaP_con,0.0473878,P,con,learning
mu_alphaP_inc,0.0159151,P,inc,learning
mu_alphaV_con,0.0839659,V,con,learning
mu_alphaV_inc,0.0145962,V,inc,learning
mu_alphaP_con,0.0606969,P,con,learning
mu_alphaP_inc,0.0159445,P,inc,learning
mu_alphaV_con,0.0869011,V,con,learning
mu_alphaV_inc,0.0110728,V,inc,learning
mu_alphaP_con,0.0417249,P,con,learning
mu_alphaP_inc,0.0141222,P,inc,learning
mu_alphaV_con,0.0876154,V,con,learning
mu_alphaV_inc,0.0129712,V,inc,learning
mu_alphaP_con,0.0541107,P,con,learning
mu_alphaP_inc,0.0164015,P,inc,learning
mu_alphaV_con,0.102922,V,con,learning
mu_alphaV_inc,0.0146416,V,inc,learning
mu_alphaP_con,0.0398186,P,con,learning
mu_alphaP_inc,0.0133275,P,inc,learning
mu_alphaV_con,0.107151,V,con,learning
mu_alphaV_inc,0.0131926,V,inc,learning
mu_alphaP_con,0.0483094,P,con,learning
mu_alphaP_inc,0.0177105,P,inc,learning
mu_alphaV_con,0.0875833,V,con,learning
mu_alphaV_inc,0.0141741,V,inc,learning
mu_alphaP_con,0.0448716,P,con,learning
mu_alphaP_inc,0.0135831,P,inc,learning
mu_alphaV_con,0.11106,V,con,learning
mu_alphaV_inc,0.0139707,V,inc,learning
mu_alphaP_con,0.0447754,P,con,learning
mu_alphaP_inc,0.0116095,P,inc,learning
mu_alphaV_con,0.0984477,V,con,learning
mu_alphaV_inc,0.0187844,V,inc,learning
mu_alphaP_con,0.0375401,P,con,learning
mu_alphaP_inc,0.0151454,P,inc,learning
mu_alphaV_con,0.0948409,V,con,learning
mu_alphaV_inc,0.0127297,V,inc,learning
mu_alphaP_con,0.0581937,P,con,learning
mu_alphaP_inc,0.0147964,P,inc,learning
mu_alphaV_con,0.0948138,V,con,learning
mu_alphaV_inc,0.014382,V,inc,learning
mu_alphaP_con,0.0464104,P,con,learning
mu_alphaP_inc,0.0147161,P,inc,learning
mu_alphaV_con,0.109569,V,con,learning
mu_alphaV_inc,0.0136699,V,inc,learning
mu_alphaP_con,0.0416276,P,con,learning
mu_alphaP_inc,0.0149691,P,inc,learning
mu_alphaV_con,0.0924065,V,con,learning
mu_alphaV_inc,0.0170851,V,inc,learning
mu_alphaP_con,0.0527002,P,con,learning
mu_alphaP_inc,0.0150824,P,inc,learning
mu_alphaV_con,0.0861693,V,con,learning
mu_alphaV_inc,0.0140243,V,inc,learning
mu_alphaP_con,0.0401505,P,con,learning
mu_alphaP_inc,0.0107377,P,inc,learning
mu_alphaV_con,0.0946657,V,con,learning
mu_alphaV_inc,0.00978752,V,inc,learning
mu_alphaP_con,0.0503822,P,con,learning
mu_alphaP_inc,0.0132865,P,inc,learning
mu_alphaV_con,0.095156,V,con,learning
mu_alphaV_inc,0.0134098,V,inc,learning
mu_alphaP_con,0.0477907,P,con,learning
mu_alphaP_inc,0.014547,P,inc,learning
mu_alphaV_con,0.102388,V,con,learning
mu_alphaV_inc,0.0157388,V,inc,learning
mu_alphaP_con,0.0482617,P,con,learning
mu_alphaP_inc,0.0158481,P,inc,learning
mu_alphaV_con,0.0965183,V,con,learning
mu_alphaV_inc,0.0127557,V,inc,learning
mu_alphaP_con,0.047598,P,con,learning
mu_alphaP_inc,0.0148591,P,inc,learning
mu_alphaV_con,0.0909679,V,con,learning
mu_alphaV_inc,0.0135116,V,inc,learning
mu_alphaP_con,0.0481496,P,con,learning
mu_alphaP_inc,0.0135647,P,inc,learning
mu_alphaV_con,0.0822501,V,con,learning
mu_alphaV_inc,0.0183537,V,inc,learning
mu_alphaP_con,0.0402823,P,con,learning
mu_alphaP_inc,0.0170991,P,inc,learning
mu_alphaV_con,0.0904387,V,con,learning
mu_alphaV_inc,0.0122792,V,inc,learning
mu_alphaP_con,0.0531072,P,con,learning
mu_alphaP_inc,0.0186118,P,inc,learning
mu_alphaV_con,0.0924964,V,con,learning
mu_alphaV_inc,0.0132364,V,inc,learning
mu_alphaP_con,0.0523468,P,con,learning
mu_alphaP_inc,0.0121528,P,inc,learning
mu_alphaV_con,0.0955744,V,con,learning
mu_alphaV_inc,0.0137466,V,inc,learning
mu_alphaP_con,0.035364,P,con,learning
mu_alphaP_inc,0.0144747,P,inc,learning
mu_alphaV_con,0.0963666,V,con,learning
mu_alphaV_inc,0.013562,V,inc,learning
mu_alphaP_con,0.0501685,P,con,learning
mu_alphaP_inc,0.0132075,P,inc,learning
mu_alphaV_con,0.0943844,V,con,learning
mu_alphaV_inc,0.0139008,V,inc,learning
mu_alphaP_con,0.0561645,P,con,learning
mu_alphaP_inc,0.0140706,P,inc,learning
mu_alphaV_con,0.0987256,V,con,learning
mu_alphaV_inc,0.0156768,V,inc,learning
mu_alphaP_con,0.0480739,P,con,learning
mu_alphaP_inc,0.0128361,P,inc,learning
mu_alphaV_con,0.0866624,V,con,learning
mu_alphaV_inc,0.01101,V,inc,learning
mu_alphaP_con,0.0340334,P,con,learning
mu_alphaP_inc,0.014274,P,inc,learning
mu_alphaV_con,0.101385,V,con,learning
mu_alphaV_inc,0.0128194,V,inc,learning
mu_alphaP_con,0.0415285,P,con,learning
mu_alphaP_inc,0.0171497,P,inc,learning
mu_alphaV_con,0.106294,V,con,learning
mu_alphaV_inc,0.0106545,V,inc,learning
mu_alphaP_con,0.0502496,P,con,learning
mu_alphaP_inc,0.0121793,P,inc,learning
mu_alphaV_con,0.0822314,V,con,learning
mu_alphaV_inc,0.0195842,V,inc,learning
mu_alphaP_con,0.042924,P,con,learning
mu_alphaP_inc,0.0150765,P,inc,learning
mu_alphaV_con,0.105472,V,con,learning
mu_alphaV_inc,0.0143708,V,inc,learning
mu_alphaP_con,0.052165,P,con,learning
mu_alphaP_inc,0.0102747,P,inc,learning
mu_alphaV_con,0.0994804,V,con,learning
mu_alphaV_inc,0.0214218,V,inc,learning
mu_alphaP_con,0.0354817,P,con,learning
mu_alphaP_inc,0.013121,P,inc,learning
mu_alphaV_con,0.0971065,V,con,learning
mu_alphaV_inc,0.0122545,V,inc,learning
mu_alphaP_con,0.0459605,P,con,learning
mu_alphaP_inc,0.0120517,P,inc,learning
mu_alphaV_con,0.107254,V,con,learning
mu_alphaV_inc,0.0109837,V,inc,learning
mu_alphaP_con,0.0577293,P,con,learning
mu_alphaP_inc,0.00998952,P,inc,learning
mu_alphaV_con,0.100171,V,con,learning
mu_alphaV_inc,0.0211515,V,inc,learning
mu_alphaP_con,0.0520862,P,con,learning
mu_alphaP_inc,0.0139182,P,inc,learning
mu_alphaV_con,0.0945844,V,con,learning
mu_alphaV_inc,0.0114357,V,inc,learning
mu_alphaP_con,0.0464337,P,con,learning
mu_alphaP_inc,0.0160048,P,inc,learning
mu_alphaV_con,0.0947337,V,con,learning
mu_alphaV_inc,0.0176928,V,inc,learning
mu_alphaP_con,0.0515693,P,con,learning
mu_alphaP_inc,0.0123101,P,inc,learning
mu_alphaV_con,0.0893734,V,con,learning
mu_alphaV_inc,0.0117274,V,inc,learning
mu_alphaP_con,0.0576657,P,con,learning
mu_alphaP_inc,0.0162184,P,inc,learning
mu_alphaV_con,0.0997992,V,con,learning
mu_alphaV_inc,0.011808,V,inc,learning
mu_alphaP_con,0.0558844,P,con,learning
mu_alphaP_inc,0.0126216,P,inc,learning
mu_alphaV_con,0.0985889,V,con,learning
mu_alphaV_inc,0.0141933,V,inc,learning
mu_alphaP_con,0.0482128,P,con,learning
mu_alphaP_inc,0.0162834,P,inc,learning
mu_alphaV_con,0.092224,V,con,learning
mu_alphaV_inc,0.0118193,V,inc,learning
mu_alphaP_con,0.0454054,P,con,learning
mu_alphaP_inc,0.011269,P,inc,learning
mu_alphaV_con,0.0932714,V,con,learning
mu_alphaV_inc,0.0125891,V,inc,learning
mu_alphaP_con,0.0512505,P,con,learning
mu_alphaP_inc,0.0182306,P,inc,learning
mu_alphaV_con,0.0978633,V,con,learning
mu_alphaV_inc,0.0104183,V,inc,learning
mu_alphaP_con,0.0610931,P,con,learning
mu_alphaP_inc,0.0144026,P,inc,learning
mu_alphaV_con,0.0924184,V,con,learning
mu_alphaV_inc,0.0143281,V,inc,learning
mu_alphaP_con,0.0470871,P,con,learning
mu_alphaP_inc,0.0124258,P,inc,learning
mu_alphaV_con,0.095648,V,con,learning
mu_alphaV_inc,0.0135281,V,inc,learning
mu_alphaP_con,0.0460954,P,con,learning
mu_alphaP_inc,0.0143169,P,inc,learning
mu_alphaV_con,0.100465,V,con,learning
mu_alphaV_inc,0.0112871,V,inc,learning
mu_alphaP_con,0.050849,P,con,learning
mu_alphaP_inc,0.0119052,P,inc,learning
mu_alphaV_con,0.0988913,V,con,learning
mu_alphaV_inc,0.0146537,V,inc,learning
mu_alphaP_con,0.0406638,P,con,learning
mu_alphaP_inc,0.0128094,P,inc,learning
mu_alphaV_con,0.0981789,V,con,learning
mu_alphaV_inc,0.0132546,V,inc,learning
mu_alphaP_con,0.0515219,P,con,learning
mu_alphaP_inc,0.0158605,P,inc,learning
mu_alphaV_con,0.101811,V,con,learning
mu_alphaV_inc,0.0120323,V,inc,learning
mu_alphaP_con,0.0409462,P,con,learning
mu_alphaP_inc,0.0163322,P,inc,learning
mu_alphaV_con,0.0924016,V,con,learning
mu_alphaV_inc,0.0158505,V,inc,learning
mu_alphaP_con,0.0374665,P,con,learning
mu_alphaP_inc,0.0140567,P,inc,learning
mu_alphaV_con,0.0975455,V,con,learning
mu_alphaV_inc,0.0143858,V,inc,learning
mu_alphaP_con,0.0423722,P,con,learning
mu_alphaP_inc,0.0130187,P,inc,learning
mu_alphaV_con,0.103679,V,con,learning
mu_alphaV_inc,0.0134578,V,inc,learning
mu_alphaP_con,0.0429235,P,con,learning
mu_alphaP_inc,0.0122214,P,inc,learning
mu_alphaV_con,0.100664,V,con,learning
mu_alphaV_inc,0.0141996,V,inc,learning
mu_alphaP_con,0.0469332,P,con,learning
mu_alphaP_inc,0.0166838,P,inc,learning
mu_alphaV_con,0.104844,V,con,learning
mu_alphaV_inc,0.0129685,V,inc,learning
mu_alphaP_con,0.0467136,P,con,learning
mu_alphaP_inc,0.018453,P,inc,learning
mu_alphaV_con,0.105169,V,con,learning
mu_alphaV_inc,0.0111392,V,inc,learning
mu_alphaP_con,0.0436347,P,con,learning
mu_alphaP_inc,0.0153265,P,inc,learning
mu_alphaV_con,0.106681,V,con,learning
mu_alphaV_inc,0.013462,V,inc,learning
mu_alphaP_con,0.0426922,P,con,learning
mu_alphaP_inc,0.0157774,P,inc,learning
mu_alphaV_con,0.0995635,V,con,learning
mu_alphaV_inc,0.0125583,V,inc,learning
mu_alphaP_con,0.041635900000000003,P,con,learning
mu_alphaP_inc,0.0128152,P,inc,learning
mu_alphaV_con,0.102037,V,con,learning
mu_alphaV_inc,0.016269,V,inc,learning
mu_alphaP_con,0.0473123,P,con,learning
mu_alphaP_inc,0.0141868,P,inc,learning
mu_alphaV_con,0.0954484,V,con,learning
mu_alphaV_inc,0.0119854,V,inc,learning
mu_alphaP_con,0.0465089,P,con,learning
mu_alphaP_inc,0.0150512,P,inc,learning
mu_alphaV_con,0.10202,V,con,learning
mu_alphaV_inc,0.0157282,V,inc,learning
mu_alphaP_con,0.0606382,P,con,learning
mu_alphaP_inc,0.0101787,P,inc,learning
mu_alphaV_con,0.114816,V,con,learning
mu_alphaV_inc,0.0154561,V,inc,learning
mu_alphaP_con,0.0397786,P,con,learning
mu_alphaP_inc,0.0230653,P,inc,learning
mu_alphaV_con,0.0898712,V,con,learning
mu_alphaV_inc,0.0175975,V,inc,learning
mu_alphaP_con,0.0563649,P,con,learning
mu_alphaP_inc,0.0130259,P,inc,learning
mu_alphaV_con,0.107094,V,con,learning
mu_alphaV_inc,0.0121802,V,inc,learning
mu_alphaP_con,0.0489962,P,con,learning
mu_alphaP_inc,0.0126057,P,inc,learning
mu_alphaV_con,0.103177,V,con,learning
mu_alphaV_inc,0.0135797,V,inc,learning
mu_alphaP_con,0.0560469,P,con,learning
mu_alphaP_inc,0.0127477,P,inc,learning
mu_alphaV_con,0.0970866,V,con,learning
mu_alphaV_inc,0.0163116,V,inc,learning
mu_alphaP_con,0.0441114,P,con,learning
mu_alphaP_inc,0.00985571,P,inc,learning
mu_alphaV_con,0.0907448,V,con,learning
mu_alphaV_inc,0.0136683,V,inc,learning
mu_alphaP_con,0.0485074,P,con,learning
mu_alphaP_inc,0.017213,P,inc,learning
mu_alphaV_con,0.101469,V,con,learning
mu_alphaV_inc,0.016647,V,inc,learning
mu_alphaP_con,0.0458438,P,con,learning
mu_alphaP_inc,0.0158763,P,inc,learning
mu_alphaV_con,0.0844484,V,con,learning
mu_alphaV_inc,0.0140963,V,inc,learning
mu_alphaP_con,0.0507121,P,con,learning
mu_alphaP_inc,0.0130671,P,inc,learning
mu_alphaV_con,0.0879847,V,con,learning
mu_alphaV_inc,0.0153117,V,inc,learning
mu_alphaP_con,0.0547509,P,con,learning
mu_alphaP_inc,0.013383,P,inc,learning
mu_alphaV_con,0.101796,V,con,learning
mu_alphaV_inc,0.0163698,V,inc,learning
mu_alphaP_con,0.0577603,P,con,learning
mu_alphaP_inc,0.0135755,P,inc,learning
mu_alphaV_con,0.0865708,V,con,learning
mu_alphaV_inc,0.0141328,V,inc,learning
mu_alphaP_con,0.0541188,P,con,learning
mu_alphaP_inc,0.0107016,P,inc,learning
mu_alphaV_con,0.101808,V,con,learning
mu_alphaV_inc,0.0131229,V,inc,learning
mu_alphaP_con,0.0470216,P,con,learning
mu_alphaP_inc,0.0106381,P,inc,learning
mu_alphaV_con,0.101168,V,con,learning
mu_alphaV_inc,0.013233,V,inc,learning
mu_alphaP_con,0.0374507,P,con,learning
mu_alphaP_inc,0.011922,P,inc,learning
mu_alphaV_con,0.0953983,V,con,learning
mu_alphaV_inc,0.0140089,V,inc,learning
mu_alphaP_con,0.0400734,P,con,learning
mu_alphaP_inc,0.0144049,P,inc,learning
mu_alphaV_con,0.0910955,V,con,learning
mu_alphaV_inc,0.0123792,V,inc,learning
mu_alphaP_con,0.0461978,P,con,learning
mu_alphaP_inc,0.0149416,P,inc,learning
mu_alphaV_con,0.0849455,V,con,learning
mu_alphaV_inc,0.0128131,V,inc,learning
mu_alphaP_con,0.0463523,P,con,learning
mu_alphaP_inc,0.015202,P,inc,learning
mu_alphaV_con,0.101099,V,con,learning
mu_alphaV_inc,0.0125646,V,inc,learning
mu_alphaP_con,0.0372468,P,con,learning
mu_alphaP_inc,0.0142414,P,inc,learning
mu_alphaV_con,0.087151,V,con,learning
mu_alphaV_inc,0.0104496,V,inc,learning
mu_alphaP_con,0.0441691,P,con,learning
mu_alphaP_inc,0.012851,P,inc,learning
mu_alphaV_con,0.110258,V,con,learning
mu_alphaV_inc,0.0196137,V,inc,learning
mu_alphaP_con,0.0462217,P,con,learning
mu_alphaP_inc,0.0114229,P,inc,learning
mu_alphaV_con,0.104474,V,con,learning
mu_alphaV_inc,0.0166344,V,inc,learning
mu_alphaP_con,0.0519967,P,con,learning
mu_alphaP_inc,0.0181583,P,inc,learning
mu_alphaV_con,0.100618,V,con,learning
mu_alphaV_inc,0.0110929,V,inc,learning
mu_alphaP_con,0.0516017,P,con,learning
mu_alphaP_inc,0.0126157,P,inc,learning
mu_alphaV_con,0.102223,V,con,learning
mu_alphaV_inc,0.0132239,V,inc,learning
mu_alphaP_con,0.0420356,P,con,learning
mu_alphaP_inc,0.0147193,P,inc,learning
mu_alphaV_con,0.0962606,V,con,learning
mu_alphaV_inc,0.0115993,V,inc,learning
mu_alphaP_con,0.0468075,P,con,learning
mu_alphaP_inc,0.0147376,P,inc,learning
mu_alphaV_con,0.087935,V,con,learning
mu_alphaV_inc,0.0152141,V,inc,learning
mu_alphaP_con,0.0519171,P,con,learning
mu_alphaP_inc,0.0116695,P,inc,learning
mu_alphaV_con,0.114331,V,con,learning
mu_alphaV_inc,0.0143523,V,inc,learning
mu_alphaP_con,0.0469901,P,con,learning
mu_alphaP_inc,0.0150306,P,inc,learning
mu_alphaV_con,0.100815,V,con,learning
mu_alphaV_inc,0.0146829,V,inc,learning
mu_alphaP_con,0.0447335,P,con,learning
mu_alphaP_inc,0.0111862,P,inc,learning
mu_alphaV_con,0.102691,V,con,learning
mu_alphaV_inc,0.0214551,V,inc,learning
mu_alphaP_con,0.0469141,P,con,learning
mu_alphaP_inc,0.0167971,P,inc,learning
mu_alphaV_con,0.122768,V,con,learning
mu_alphaV_inc,0.015736,V,inc,learning
mu_alphaP_con,0.0542846,P,con,learning
mu_alphaP_inc,0.0165576,P,inc,learning
mu_alphaV_con,0.116974,V,con,learning
mu_alphaV_inc,0.0154796,V,inc,learning
mu_alphaP_con,0.0554551,P,con,learning
mu_alphaP_inc,0.0136968,P,inc,learning
mu_alphaV_con,0.100788,V,con,learning
mu_alphaV_inc,0.0123728,V,inc,learning
mu_alphaP_con,0.0500388,P,con,learning
mu_alphaP_inc,0.019717,P,inc,learning
mu_alphaV_con,0.0899974,V,con,learning
mu_alphaV_inc,0.018873,V,inc,learning
mu_alphaP_con,0.0463764,P,con,learning
mu_alphaP_inc,0.00942033,P,inc,learning
mu_alphaV_con,0.104231,V,con,learning
mu_alphaV_inc,0.00921233,V,inc,learning
mu_alphaP_con,0.040735,P,con,learning
mu_alphaP_inc,0.011651,P,inc,learning
mu_alphaV_con,0.0886483,V,con,learning
mu_alphaV_inc,0.0137344,V,inc,learning
mu_alphaP_con,0.0397543,P,con,learning
mu_alphaP_inc,0.0113855,P,inc,learning
mu_alphaV_con,0.0809734,V,con,learning
mu_alphaV_inc,0.0124886,V,inc,learning
mu_alphaP_con,0.0446749,P,con,learning
mu_alphaP_inc,0.0124624,P,inc,learning
mu_alphaV_con,0.105337,V,con,learning
mu_alphaV_inc,0.0125853,V,inc,learning
mu_alphaP_con,0.053142,P,con,learning
mu_alphaP_inc,0.0169193,P,inc,learning
mu_alphaV_con,0.0936275,V,con,learning
mu_alphaV_inc,0.014237,V,inc,learning
mu_alphaP_con,0.0418612,P,con,learning
mu_alphaP_inc,0.0166688,P,inc,learning
mu_alphaV_con,0.1089,V,con,learning
mu_alphaV_inc,0.0134581,V,inc,learning
mu_alphaP_con,0.0515076,P,con,learning
mu_alphaP_inc,0.0144773,P,inc,learning
mu_alphaV_con,0.112843,V,con,learning
mu_alphaV_inc,0.0140138,V,inc,learning
mu_alphaP_con,0.0410583,P,con,learning
mu_alphaP_inc,0.0166069,P,inc,learning
mu_alphaV_con,0.0858793,V,con,learning
mu_alphaV_inc,0.0187423,V,inc,learning
mu_alphaP_con,0.0395065,P,con,learning
mu_alphaP_inc,0.0155292,P,inc,learning
mu_alphaV_con,0.0871175,V,con,learning
mu_alphaV_inc,0.0130217,V,inc,learning
mu_alphaP_con,0.0482223,P,con,learning
mu_alphaP_inc,0.0108553,P,inc,learning
mu_alphaV_con,0.0993386,V,con,learning
mu_alphaV_inc,0.0137465,V,inc,learning
mu_alphaP_con,0.0431744,P,con,learning
mu_alphaP_inc,0.0122829,P,inc,learning
mu_alphaV_con,0.0890111,V,con,learning
mu_alphaV_inc,0.0139258,V,inc,learning
mu_alphaP_con,0.0659198,P,con,learning
mu_alphaP_inc,0.0124006,P,inc,learning
mu_alphaV_con,0.0835137,V,con,learning
mu_alphaV_inc,0.0147666,V,inc,learning
mu_alphaP_con,0.053834,P,con,learning
mu_alphaP_inc,0.0170802,P,inc,learning
mu_alphaV_con,0.097246,V,con,learning
mu_alphaV_inc,0.0130625,V,inc,learning
mu_alphaP_con,0.0449296,P,con,learning
mu_alphaP_inc,0.0154702,P,inc,learning
mu_alphaV_con,0.0945614,V,con,learning
mu_alphaV_inc,0.017681,V,inc,learning
mu_alphaP_con,0.0477935,P,con,learning
mu_alphaP_inc,0.0175219,P,inc,learning
mu_alphaV_con,0.0852294,V,con,learning
mu_alphaV_inc,0.0136131,V,inc,learning
mu_alphaP_con,0.0429124,P,con,learning
mu_alphaP_inc,0.0153276,P,inc,learning
mu_alphaV_con,0.10846,V,con,learning
mu_alphaV_inc,0.0115898,V,inc,learning
mu_alphaP_con,0.0486088,P,con,learning
mu_alphaP_inc,0.0112703,P,inc,learning
mu_alphaV_con,0.0824781,V,con,learning
mu_alphaV_inc,0.0174637,V,inc,learning
mu_alphaP_con,0.0564696,P,con,learning
mu_alphaP_inc,0.00875259,P,inc,learning
mu_alphaV_con,0.103716,V,con,learning
mu_alphaV_inc,0.0128414,V,inc,learning
mu_alphaP_con,0.0452766,P,con,learning
mu_alphaP_inc,0.00805279,P,inc,learning
mu_alphaV_con,0.100546,V,con,learning
mu_alphaV_inc,0.0130234,V,inc,learning
mu_alphaP_con,0.044302,P,con,learning
mu_alphaP_inc,0.00778498,P,inc,learning
mu_alphaV_con,0.0929824,V,con,learning
mu_alphaV_inc,0.0128368,V,inc,learning
mu_alphaP_con,0.042748800000000003,P,con,learning
mu_alphaP_inc,0.00758185,P,inc,learning
mu_alphaV_con,0.0998519,V,con,learning
mu_alphaV_inc,0.0142444,V,inc,learning
mu_alphaP_con,0.0439276,P,con,learning
mu_alphaP_inc,0.0111424,P,inc,learning
mu_alphaV_con,0.100651,V,con,learning
mu_alphaV_inc,0.0147106,V,inc,learning
mu_alphaP_con,0.042708,P,con,learning
mu_alphaP_inc,0.010287,P,inc,learning
mu_alphaV_con,0.110855,V,con,learning
mu_alphaV_inc,0.0173419,V,inc,learning
mu_alphaP_con,0.0476036,P,con,learning
mu_alphaP_inc,0.0155171,P,inc,learning
mu_alphaV_con,0.10895,V,con,learning
mu_alphaV_inc,0.0129374,V,inc,learning
mu_alphaP_con,0.0454737,P,con,learning
mu_alphaP_inc,0.0162332,P,inc,learning
mu_alphaV_con,0.100266,V,con,learning
mu_alphaV_inc,0.017544,V,inc,learning
mu_alphaP_con,0.0469288,P,con,learning
mu_alphaP_inc,0.0134498,P,inc,learning
mu_alphaV_con,0.0860696,V,con,learning
mu_alphaV_inc,0.012383,V,inc,learning
mu_alphaP_con,0.0444194,P,con,learning
mu_alphaP_inc,0.0127708,P,inc,learning
mu_alphaV_con,0.0897486,V,con,learning
mu_alphaV_inc,0.0167019,V,inc,learning
mu_alphaP_con,0.0417797,P,con,learning
mu_alphaP_inc,0.0134668,P,inc,learning
mu_alphaV_con,0.0894527,V,con,learning
mu_alphaV_inc,0.0129863,V,inc,learning
